filename,width,height,class,xmin,ymin,xmax,ymax
5967366b-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,501,474,650,696
596d65a0-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,0,433,122,607
596eee92-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,3,331,165,459
597386e6-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,567,323,702,511
597cd6b5-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,55,355,319,523
597cd75f-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,853,414,1021,543
597e6236-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,766,387,899,553
597fecec-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,430,500,652,709
5987b4b9-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,97,346,274,501
598941b7-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,272,328,470,449
59929061-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,0,412,199,566
59973f63-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,762,314,1020,680
5998ccff-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,533,264,685,376
599a5a51-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,871,342,1019,479
599a5a9f-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,582,247,731,381
599be8ad-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,578,592,682,736
599fbee2-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,281,323,457,456
59af972b-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,258,326,488,446
59b7a621-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,184,325,361,509
59b9392f-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,243,318,388,548
59bfddf3-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,729,350,932,506
59c4bf7c-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,731,243,828,368
59c99ef5-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,395,416,598,645
59cf44dd-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,707,368,899,525
59da8a19-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,414,273,652,389
59df5e92-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,405,266,620,369
59e43fa6-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,760,335,950,503
59e919d4-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,378,526,575,737
59ef8c0b-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,766,339,902,470
59f460fd-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,590,326,732,497
59f461e7-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,1,371,199,583
59f798af-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,419,387,626,639
59fc7e52-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,0,330,190,466
59fe2149-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,500,280,682,369
5a0e36b2-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,514,218,659,357
5a0e377b-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,641,298,839,447
5a0fcfce-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,1,487,212,658
5a0fd265-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,581,395,677,563
5a130b54-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,157,635,431,746
5a17dca5-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,416,244,552,420
5a17df99-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,422,261,551,413
5a197cbd-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,489,529,698,683
5a1b1609-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,835,354,1020,483
5a21769a-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,454,378,582,587
5a263774-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,746,344,967,500
5a263ab0-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,454,276,633,398
5a29636d-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,0,378,212,573
5a29662b-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,692,227,849,326
5a2e1277-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,281,552,530,705
5a2e1450-23d2-11e8-a6a3-ec086b02610b.jpg,1024,747,Cat,565,234,760,342
Cdy00003.JPG,2592,2000,Cat,738,718,1340,993
Cdy00004.JPG,2592,2000,Cat,803,951,1697,1368
Cdy00005.JPG,2592,2000,Cat,1166,491,2584,1291
Cdy00007.JPG,2592,2000,Cat,5,0,2068,1598
Cdy00008.JPG,2592,2000,Cat,876,0,2589,1569
MFDC0127.JPG,2304,1296,Cat,1746,406,2161,696
MFDC0128.JPG,2304,1296,Cat,1748,404,2165,706
MFDC0129.JPG,2304,1296,Cat,1767,404,2170,692
MFDC0397.JPG,4032,2268,Cat,80,803,1052,1306
MFDC0445.JPG,2304,1296,Cat,2055,396,2297,580
MFDC0446.JPG,2304,1296,Cat,2004,406,2297,595
MFDC0447.JPG,2304,1296,Cat,1951,415,2299,631
MFDC0505.JPG,4032,2268,Cat,346,825,1036,1141
MFDC0661.JPG,4032,2268,Cat,8,1930,1149,2117
MFDC0676.JPG,4032,2268,Cat,1693,1354,3269,2117
MFDC0677.JPG,4032,2268,Cat,2205,1192,3786,2121
MFDC0828.JPG,2304,1296,Cat,412,574,889,788
MFDC0829.JPG,2304,1296,Cat,1907,595,2294,801
MFDC0831.JPG,2304,1296,Cat,1340,415,1654,589
MFDC0832.JPG,2304,1296,Cat,251,354,460,494
MFDC0833.JPG,2304,1296,Cat,628,507,1119,713
MFDC0836.JPG,2304,1296,Cat,1490,455,1850,677
MFDC0837.JPG,2304,1296,Cat,744,364,1034,532
MFDC0838.JPG,2304,1296,Cat,582,358,806,497
MFDC0839.JPG,2304,1296,Cat,1152,419,1380,603
MFDC0840.JPG,2304,1296,Cat,412,394,539,486
MFDC0900.JPG,4032,2268,Cat,641,715,1314,1089
MFDC0901.JPG,4032,2268,Cat,1943,789,2596,1185
MFDC0902.JPG,4032,2268,Cat,2818,877,3499,1277
MFDC0910.JPG,4032,2268,Cat,3169,756,3491,1082
MFDC0911.JPG,4032,2268,Cat,3866,935,4027,1255
MFDC0916.JPG,4032,2268,Cat,1713,752,2632,1357
MFDC0917.JPG,4032,2268,Cat,3032,737,4027,1464
MFDC1299.JPG,4032,2268,Cat,3725,847,4027,1456
MFDC1300.JPG,4032,2268,Cat,2145,965,3451,1548
MFDC1301.JPG,4032,2268,Cat,1145,1009,2439,1589
MFDC1302.JPG,4032,2268,Cat,8,1060,1036,1702
MFDC1825.JPG,4032,2268,Cat,1326,833,2060,1247
MFDC3882.JPG,4032,2268,Cat,12,1089,2395,2106
MFDC3884.JPG,4032,2268,Cat,2987,833,3971,1343
MFDC3885.JPG,4032,2268,Cat,1169,1189,2007,1556
MFDC3886.JPG,4032,2268,Cat,197,1203,1181,1724
MFDC3926.JPG,4032,2268,Cat,16,1497,693,2099
MFDC7316.JPG,4032,2268,Cat,3316,975,4023,1471
MFDC7317.JPG,4032,2268,Cat,2101,1062,3154,1603
MFDC7318.JPG,4032,2268,Cat,2,905,659,1270
MFDC7363.JPG,4032,2268,Cat,1634,737,2089,1077
MFDC7364.JPG,4032,2268,Cat,339,766,874,1146
MFDC7815.JPG,4032,2268,Cat,3298,1011,3695,1417
MFDC7818.JPG,4032,2268,Cat,3018,1033,3916,1548
MFDC9059.JPG,4032,2268,Cat,3641,708,4029,1048
MFDC9059.JPG,4032,2268,Cat,3863,796,4029,1062
MFDC9060.JPG,4032,2268,Cat,2515,843,2961,1358
MFDC9060.JPG,4032,2268,Cat,2131,916,2911,1289
MFDC9061.JPG,4032,2268,Cat,1235,1026,2051,1468
MFDC9061.JPG,4032,2268,Cat,1806,971,2287,1460
MFDC9062.JPG,4032,2268,Cat,1569,854,2086,1435
MFDC9062.JPG,4032,2268,Cat,1454,989,1758,1409
MFDC9063.JPG,4032,2268,Cat,1927,777,2293,1194
MFDC9063.JPG,4032,2268,Cat,2270,566,2902,1128
MFDC9064.JPG,4032,2268,Cat,2565,734,2970,1084
MFDC9064.JPG,4032,2268,Cat,2755,748,3408,1088
MFDC9766.JPG,4032,2268,Cat,1489,533,2533,1084
MFDC9767.JPG,4032,2268,Cat,5,715,1182,1479
MFDC9769.JPG,4032,2268,Cat,124,558,1247,1409
MFDC9770.JPG,4032,2268,Cat,2137,262,2752,814
MFDC9873.JPG,4032,2268,Cat,2228,953,2545,1241
MFDC9878.JPG,4032,2268,Cat,2394,1066,2811,1358
MFDC9919.JPG,4032,2268,Cat,3455,869,3893,1223
MFDC9921.JPG,4032,2268,Cat,274,1033,1164,1533
MFDC9922.JPG,4032,2268,Cat,2740,891,3733,1344
MFDC9980.JPG,4032,2268,Cat,2415,1055,2923,1369
